汉语,英语,概率
软件,software,0.9318105426554881
红,red,0.9315435893124185
面粉,flour,0.9309106022725208
新的,new,0.9306844376335803
能量,energy,0.9304772457764645
以及,and,0.9304476462967606
和,and,0.9241529715082974
串户,door,0.9211355893237623
白色,white,0.9206327869381303
其它,other,0.920262390642405
并,and,0.9198443845341555
柔软,soft,0.9193919830552216
巴黎,paris,0.9192732301535991
比尔,bill,0.9192517012565167
东北部,northeast,0.9190567576160138
月经,menstrual,0.9166195695554353
密西根,michigan,0.9159582455565874
父母,parents,0.9156345628674422
牛奶,milk,0.9149604688536426
硝石,saltpeter,0.9147724020419918
清茶,tea,0.9144578161312901
实业,industrial,0.9137198909223159
汇兑,exchange,0.913719376954584
开证,requesting,0.9137173883777531
军事,military,0.9134507327292603
中古,middle,0.9113190899375647
咖啡,coffee,0.9110577067811341
先生,mr,0.9101367335724275
杰克,jack,0.9099256719056436
西南,southwest,0.9091625456936263
橡胶,rubber,0.9073291593116054
魁北克,quebec,0.90699234581629
乔治,george,0.9059692893903718
西南部,southwest,0.9056300810682891
上尉,captain,0.9043406952406431
王,wang,0.9038096490361411
重量,weight,0.9019545817597924
约翰逊,johnson,0.9014483532049623
秘书,secretary,0.9014053240303505
音乐,music,0.9000036472363437
智利,chile,0.899833939053484
黄油,butter,0.8997362854156336
更多的,more,0.8986604301579783
她的,her,0.8984809817903021
伦敦,london,0.8982084364623762
树叶,leaves,0.8978696602469518
官方,official,0.8978325238285134
可读性,readable,0.8973081747862256
老,old,0.8972324627113543
圣诞,christmas,0.8963361961809247
但是,but,0.8958208517639982
但,but,0.8953743977502944
皮肤,skin,0.8945495024700639
村子,village,0.8917340092719964
房子,house,0.8910439524653
餐馆,restaurant,0.8908436339583321
织物,fabric,0.8903712990600677
寒冷,cold,0.8903028441576409
空气,air,0.8902111193720895
鱼,fish,0.8882977552117898
村庄,village,0.8869623536734508
钢,steel,0.8864773677696077
蓝色,blue,0.8849435544296642
这儿,here,0.8840990917678303
嫌忌,hatred,0.8827420238341691
啤酒,beer,0.881930663790821
市镇,town,0.8809935674783111
尤其是,especially,0.8804946748792928
牛肉,beef,0.8798791163352357
黄色,yellow,0.8790541390123219
且,and,0.8787481464833561
电路,circuit,0.8781828699670592
医院,hospital,0.8775698991072882
电视,television,0.8770521755312992
鼻子,nose,0.8749868601854239
早餐,breakfast,0.874986000651903
通货膨胀,inflation,0.8745049448644957
留底,duplicate,0.8739520264047018
法语,french,0.8724903270379343
现金,cash,0.8708875738523097
小麦,wheat,0.8704480972079351
牙买加,jamaica,0.8703300744832632
人口,population,0.8696472538167976
铁丝,wire,0.8690289805714422
帽子,hat,0.8688147529464857
街,street,0.8682518352669372
巴顿,patton,0.8675019268703286
贸易,trade,0.8670766177724709
间或,or,0.8670508614781144
棉花,cotton,0.8665851739550854
上帝,god,0.8665670388280727
交融,mobile,0.865820796345949
该项,the,0.8656050945215087
绞碎,ground,0.8654983211311137
其他,other,0.8649765611124449
家具,furniture,0.8639688394211053
这里,here,0.8638509655108595
昨天,yesterday,0.8615583606384193
钢笔,pen,0.8610530028711061
如果,if,0.8609836087403505
布朗,brown,0.8606202809794451
外国,foreign,0.860529937606738
信息,information,0.8604642690697224
战争,war,0.8604417368936325
下午,afternoon,0.8603877195486918
会计部,accounting,0.8601163091204745
政策,policy,0.8593630133614488
套汇,exchange,0.8582963105818727
金钱,money,0.8582219913420288
友谊,friendship,0.8576208810615076
网络,network,0.8564443718911325
从不,never,0.856440644332627
房间,room,0.8553891590933321
湖,lake,0.8553769566104502
大卫,david,0.8552995555328418
五,five,0.8546607614359658
输出,output,0.854438899103267
烤鱼,fish,0.8535865706037467
两条,two,0.8516531293567513
吉姆,jim,0.8510668896849328
有时,sometimes,0.8509069138781178
爱情,love,0.8502011872572652
马鞍,saddle,0.8496570000843352
银行,bank,0.8495038957083944
曹,sergeant,0.8494945080509528
煤,coal,0.849080791696671
那儿,there,0.8489180412890115
棒球,baseball,0.8486283495638695
从来,never,0.84842962270689
肉,meat,0.847952486841396
六月,june,0.8475913531235111
屏幕,screen,0.8470926833147914
教堂,church,0.8459684817493697
地板,floor,0.8454126005307638
芝加哥,chicago,0.8452055539127701
糖,sugar,0.8451964425838668
名字,name,0.8451164154393217
上海,shanghai,0.8444690704789694
亨利,henry,0.844313697483892
抱紧,embraced,0.8437783131778579
坏,bad,0.8436789463220014
固体,solid,0.8433994570231731
历史,history,0.8426299015930799
圣诞节,christmas,0.8423991481266945
大约,about,0.8422383681264716
铁,iron,0.8421448807225578
血液,blood,0.8420964973965579
水,water,0.8415634078680888
在这里,here,0.8409083784277261
英文,english,0.8405344966396453
面包,bread,0.8403637531885472
六个,six,0.8403404503802885
夏天,summer,0.8400455733070297
心脏,heart,0.8387883707566246
和平,peace,0.8387260937118987
怀特,white,0.8385711911792169
生意,business,0.8379749400210391
前臂,the,0.8377397150727636
给定,given,0.8372031149379199
上午,morning,0.8369064985797544
特指,especially,0.8367941048583268
棉布,cotton,0.8365208910874423
彼,peter,0.8363555270234894
开发部,development,0.835951878291226
棉,cotton,0.8348636868129334
之间,between,0.8344337442681073
脏,dirty,0.8340617686474108
计算机,computer,0.8332474996708131
分批,split,0.8330876017714065
俱乐部,club,0.8329259152221694
政府,government,0.8327017699219839
哦,oh,0.8323591648917802
夜,night,0.8323496184302434
雪,snow,0.8322490176549746
一根,a,0.8316518765864582
园丁,gardener,0.8314392331479261
家和,and,0.8305095297026065
花园,garden,0.8302080630051555
丑闻,scandal,0.8301062068197537
足球,football,0.8294631806424755
佣金,commission,0.8287969249939372
猫,cat,0.828601453337392
盐,salt,0.8284776876837392
影片,film,0.8282104651467088
或在,or,0.8275980772674123
标志着,the,0.8274645285038724
婚姻,marriage,0.8273198144996585
更多,more,0.827264617924182
常常,often,0.827232032384422
桥,bridge,0.827135245272135
土地,land,0.8270596433278056
村,village,0.8259646071091354
车子,car,0.8255491024466045
公牛,bull,0.8251696442143899
玉米,corn,0.8250705735889311
金属,metal,0.8250468807289458
小说,novel,0.8245638970774074
可是,but,0.824313532244346
直至,until,0.824305029715646
气态,gaseous,0.8240489436014808
甘油,glycerol,0.824044439816305
学校,school,0.8239831772279088
机器,machine,0.8229862964792125
办公室,office,0.8228507760179263
如在,as,0.8225146293661658
来自,from,0.8220480530790808
宫殿,palace,0.8220420388034358
椅子,chair,0.8219341553956814
人和,and,0.8218344726349055
所有,all,0.8216747067771951
床,bed,0.8212257618228188
总监,director,0.8211725053186122
北京,beijing,0.8204330419737884
莎士比亚,shakespeare,0.8201074633524748
西北,northwest,0.819987265462416
二进制,binary,0.8196918187998875
狗,dog,0.8189030857134862
系统,system,0.8186630220895726
沙漠,desert,0.818347314331246
一般说来,generally,0.8182647533915034
火灾,fire,0.8180396395075153
绿色,green,0.8177993145849914
四,four,0.8170940244788892
将它,it,0.8169553631698989
炎症,inflammation,0.814912647286163
腌制,pickled,0.8140389325078646
可怜,poor,0.8138073799614208
消息,news,0.8133830714770083
羊毛,wool,0.8130845971300882
那头,the,0.8130771055609939
古代,ancient,0.8129008764429027
干草,hay,0.812668368095147
类似的,similar,0.8126204619405935
故事,story,0.8124245268167554
简,jane,0.8119295881178213
英尺,feet,0.8116391209166998
字典,dictionary,0.8115619510187871
匹兹堡,pittsburgh,0.811188577859803
所有的,all,0.8106692699885076
母亲,mother,0.8106298399215135
铅笔,pencil,0.8103934952794094
这位,the,0.8100720197434829
六,six,0.8096527905552585
华盛顿,washington,0.8085307050206367
帐户,account,0.8085016037718095
3,three,0.808364367669544
丁,martin,0.8075721985014499
河,river,0.8073827089217722
甚至,even,0.8068151804740472
市场,market,0.8066933749329173
在我的,my,0.8064516453890205
背部,back,0.8057955556462315
平行,parallel,0.8052487775180734
天花板,ceiling,0.8047412768717499
妹妹,sister,0.8045297231252467
球队,team,0.8040472241110213
光,light,0.8040010241005893
性虐待,abuse,0.8037090268565134
右,right,0.8033867049212243
理论,theory,0.8033141687401414
句子,sentence,0.8025481387985196
摄像机,camera,0.8020052047629288
罐装,canned,0.8018449739533459
世界,world,0.8002422931643818
按揭,mortgage,0.800051835768529
事故,accident,0.7998953154062928
早上,morning,0.7996954759543139
通常,usually,0.7996247612534296
水果,fruit,0.79947351155575
野战,field,0.7989084454349712
棕色,brown,0.7986614269598533
之前,before,0.7985897047955335
明天,tomorrow,0.7981251176885328
总是,always,0.7980982632201009
地址,address,0.7980165212712694
戴在,worn,0.7978204518821816
预算,budget,0.7976457520207412
婴儿,baby,0.7969627625925919
知识,knowledge,0.7965753812136788
请,please,0.7965532504730777
王子,prince,0.7964123467161067
纸,paper,0.7964104132853103
聚会,party,0.7962865841658432
今日,today,0.7957022278265322
捣碎,into,0.7955895010935735
半岛,peninsula,0.7949254442313431
两种,two,0.7941617823058397
这座,the,0.7939891347599255
花瓶,vase,0.7938148116258568
睡眠,sleep,0.7933108585390051
生命,life,0.7930530814582779
算术,arithmetic,0.7929845687195359
两根,two,0.7928856405625174
进去,in,0.7922105572251161
党,party,0.7921873109400274
并在,and,0.7915032511760726
疹,eruption,0.7914928310085674
饭馆,restaurant,0.7909355664849513
鸟类,birds,0.7904593499401604
德语,german,0.7892358798601843
出厂,vintage,0.7890612635960718
地中海,mediterranean,0.7888971780714767
早晨,morning,0.7876073342184745
暴力,violence,0.7875905058373388
灰尘,dust,0.7875100620866938
宾夕法尼亚州,pennsylvania,0.7867418977472108
物理学家,physicist,0.7866019517273386
太空,space,0.7863206430380767
茶,tea,0.785948644917735
拿好,collect,0.7858923196329131
李斯特,liszt,0.785782361320945
父亲,father,0.7855406620173602
发票,invoice,0.7847768963854699
作响,the,0.7846085506039976
羊,sheep,0.7844662388574066
公众,public,0.7844602634309313
琼,jones,0.7836275874646788
第一,first,0.7834326375673873
员工福利,benefits,0.7833136878011776
妻子,wife,0.7830606814135829
马克,mark,0.7828541291300984
歌剧,opera,0.7823442893498745
台湾,taiwan,0.7823098084012929
放射性同位素,isotope,0.7819619651486696
山谷,valley,0.7818454239853914
勇气,courage,0.7816495328618281
冬季,winter,0.7815172261012948
秘密,secret,0.781366458109075
尤,especially,0.7813344954396108
向后,back,0.7812270240185512
温哥华,vancouver,0.7811348036621996
分钟,minutes,0.7804852081541
仍然,still,0.7804616130818565
茄克,jacket,0.7802465965901589
工厂,factory,0.780181861751172
你,you,0.7800264427138948
油,oil,0.7797444461809603
脸,face,0.7796647902494966
食品,food,0.7795495113931987
并把,and,0.7794758930360912
在她,her,0.7794756417685262
公共汽车,bus,0.7794686272660268
乡间,country,0.7790348267610699
血,blood,0.7789708794889455
网球,tennis,0.7787639668857762
政治上,political,0.7785830399323967
珍珠白,yellowish,0.7781665518348461
词典,dictionary,0.7781633664792013
宣布独立,independence,0.7774753533464971
请把,please,0.777211362416135
鞋子,shoes,0.776121871147645
软,soft,0.7756618899245794
第三,third,0.7756050987472688
们,the,0.7755427056381191
手表,watch,0.7751322283688208
热带,tropical,0.7750682076148513
癌症,cancer,0.7748836640479013
脖子,neck,0.7740113586095665
银,silver,0.7739196783229704
屋顶,roof,0.7736315886309757
旅馆,hotel,0.7732694251142423
女儿,daughter,0.7722338685528303
丈夫,husband,0.7721326253389262
第一个,first,0.772061851823566
高尔夫球,golf,0.7717168770816061
叔叔,uncle,0.7716881676726993
瓶子,bottle,0.7716646405126689
您,you,0.77159899555718
亚伯拉罕,abraham,0.7715873661438559
审判,trial,0.7714396005844144
1089,be,0.7708938482705288
肥皂,soap,0.7707492413332595
尤其,especially,0.7703149780361062
塑料,plastic,0.7702212007506658
回家,home,0.7698479132621272
打字机,typewriter,0.7698344008294968
空间,space,0.7697459444012956
惯用,handed,0.7695699791145704
那名,the,0.76956466549281
罗伯特,robert,0.7694840288917407
合同,contract,0.7693712143573311
林肯,lincoln,0.7689730019090698
加拿大,canada,0.7688152070101246
泪水,tears,0.7686969164127336
敌人,enemy,0.7685574795025457
冬天,winter,0.7683476825552104
磅,pounds,0.7681217533687359
未来,future,0.7680788331189652
实践,practice,0.76805197304606
保护性,protective,0.7680315585471218
物以类聚,like,0.7675894819487152
制成,made,0.7674429876056208
经验,experience,0.7674215467569903
人生,life,0.7674098172121823
印度,india,0.7673586098682289
一半,half,0.7673546046986889
危机,crisis,0.7671732250001697
老师,teacher,0.76583932770174
超自然,supernatural,0.7658166226418996
不久,soon,0.7657781996361449
硬件,hardware,0.7655980154111623
本地,local,0.7649716364901834
那条,the,0.7647879354755188
炮艇,vessel,0.7646672735110142
不过,but,0.7646158738506125
儿子,son,0.7646019893534166
一个,a,0.7645725558316413
肾盂,collecting,0.7636323777476801
列车,train,0.7632304294529056
长度,length,0.7631133499566336
舌头,tongue,0.7627587376867627
八个,eight,0.7627147452920696
刀,knife,0.7622366067380846
树皮,bark,0.7617741766451656
窄的,narrow,0.7617621457264714
白白的,naked,0.7616603221990563
外衣,coat,0.760887626342884
海伦,helen,0.7608836910465988
该州,state,0.7608202063013563
门上,door,0.7605394468074519
透过,through,0.7593753880044172
除非,unless,0.7591554218962843
石油,oil,0.7589125823918238
驱,the,0.7586130963768134
面孔,face,0.7582471140742183
更好的,better,0.7581742543220031
铅,lead,0.7581690187952216
杆,a,0.7579563476098536
文艺复兴,renaissance,0.7576565653797683
新型,new,0.7572937284066074
当地,local,0.7571915834228286
众议院,house,0.7569996004359651
五月,may,0.756748792418844
只有,only,0.7567220540005393
一些,some,0.7564369239582387
午饭,lunch,0.7564271108903032
煤气,gas,0.756107145424803
女孩,girl,0.7560805475591177
惟一,only,0.7551181924059147
长长的,long,0.7550884284651831
海上,sea,0.7550032202266344
我,i,0.754454287453746
春天,spring,0.7543101331908009
双手,hands,0.7535801736168694
薄,thin,0.7531467991976433
短语,phrase,0.753053812641146
大街,street,0.7530157885283452
皇帝,emperor,0.7529930128940608
家人,family,0.7527528417507674
图书馆,library,0.7521588140374682
手稿,manuscript,0.7520953600570338
以东,east,0.7520729733079708
英格兰,england,0.751799601462832
采矿,mining,0.7517086014862134
在那里,there,0.7516010204321475
妈妈,mother,0.7512720859445045
演说,speech,0.7512115289318428
汉语,chinese,0.751119216799022
之后,after,0.7509363015005518
或是,or,0.7507159691807589
暴风雨,storm,0.7503564877129115
不透明,opaque,0.7502116484776474
朋友们,friends,0.7499756948491232
教师,teacher,0.7498072767187587
姑妈,aunt,0.7497404873326518
翰,john,0.7497213500110308
首都,capital,0.749601665913123
生日,birthday,0.7494022228218215
电报局,telegram,0.7492047117498046
树木,trees,0.7491481363314466
表面,surface,0.7491121849553369
头部,head,0.7490768275769857
镇上,town,0.7487576426854774
古老,old,0.7486117862268126
保罗,paul,0.74860120053814
法庭,court,0.748599211770971
琳,linda,0.7484068175231432
品味,taste,0.7483104766047299
主修科目,major,0.7482352969207172
作为,as,0.7474814589649352
一种,a,0.747307729807988
猪肉,pork,0.7472615014013195
男孩,boy,0.7471743120363776
苏珊,susan,0.7471604425363908
窗,window,0.7471474307334497
从未,never,0.7471304386812357
将军,general,0.7470032705916922
蓝,blue,0.7467261663828807
含有,containing,0.746575205406269
老板,boss,0.7465359307902096
詹姆斯,james,0.7464191797382463
要是,if,0.7463951580879509
内线,house,0.7463937358064607
年轻,young,0.7460947257654812
大多数,most,0.7460270630102209
著名的,famous,0.745497111285835
盒子,box,0.7452354044574464
收音机,radio,0.7450316426721293
谷物,grain,0.7450100278050539
收据,receipt,0.7448247380726332
广场,square,0.7447667966284988
放射性,radioactive,0.7446326281220218
电脑,computer,0.7445741037905586
群居,social,0.7441563306951379
给我,me,0.7441242646754869
为什么,why,0.7439820259419808
大理石,marble,0.7437590127225842
燃料,fuel,0.7436207637511209
社区,community,0.7435738444742702
变速器,transmission,0.743541495513153
微风,breeze,0.7430660209475787
篮子,basket,0.7430193327172663
火车,train,0.7426733422003778
现在,now,0.7425076698502379
10,ten,0.7422867848706739
集团,group,0.7416204457014468
领子,collar,0.7415488939533024
姑娘,girl,0.7414946321542182
城堡,castle,0.7411423188006554
乔,joe,0.7410728478560139
领袖,leader,0.7409455398831204
大西洋,atlantic,0.7406052674595456
透视,perspective,0.7405629857342196
建筑师,architect,0.7404731044241207
推销员,salesman,0.7403060100159696
条,a,0.7395998479753131
唯一,only,0.7394798489124034
鲍,bob,0.7393865304187353
扁,flat,0.7392806004483596
死亡,death,0.7390221506831829
喂饭,feed,0.7385982175942251
浅色,light,0.7385879213036244
手臂,arm,0.7385263862185788
双肩,shoulders,0.7384983850618727
运算符,operator,0.7384512533384414
音乐会,concert,0.738414704279499
粘土,clay,0.7379675160333088
阿波罗,apollo,0.7376820806981483
钢琴,piano,0.7374341549055162
早期,early,0.7373819732436093
一生,life,0.7369225078510716
婚礼,wedding,0.7369164572027962
山脊,ridge,0.7367215398272282
马来西亚,malaysia,0.7366762621024607
昂贵,expensive,0.7364420495735292
城市,city,0.7356887078597034
光线,light,0.7355302821295244
俄克拉荷,oklahoma,0.7353716226530173
蛋糕,cake,0.7352375577661819
猫猫,an,0.7351821374606077
那位,the,0.735094688011089
早饭,breakfast,0.734611349412875
该党,party,0.7344184594095504
葡萄酒,wine,0.7342723819133081
敌军,enemy,0.7340236642410565
反对党,opposition,0.7338071840811822
49683,give,0.7336678424007741
厚重,heavy,0.7336399065698777
厨房,kitchen,0.733563740642798
爱因斯坦,einstein,0.7334056742391077
莫斯科,moscow,0.7331982889232798
热量,heat,0.733162276669732
公园,park,0.7330640859865379
抽屉,drawer,0.7329900807867575
一栏,column,0.7329045023751288
地球,earth,0.7327314598670881
南部,southern,0.7322361660186061
已婚,married,0.7313575761598041
一条线,line,0.7311998152311208
米饭,rice,0.731042516899377
模型,model,0.7309918592747646
天然的,natural,0.7305695778405412
结构,structure,0.7302505884266388
新加坡,singapore,0.7301233367960127
氧,oxygen,0.7298233017914597
葬礼,funeral,0.7296488154405292
骨盆,pelvic,0.7296328212257662
语言,language,0.7294916300898057
龋,decay,0.7292982324081647
焰火,fireworks,0.7292386439344326
墙壁,wall,0.7291099054706802
教授,professor,0.7285025223280649
碗,bowl,0.7284039458263777
乡村,country,0.7283697591086321
裤子,trousers,0.7283241275021602
怎样,how,0.7277824970222961
墨经,furies,0.7277692220495461
炸弹,bomb,0.7276757634946567
尽可能,as,0.7276304066715903
血中,plasma,0.7276033743681505
常是,often,0.7276012535877328
财产,property,0.7275349591935707
加利福尼亚,california,0.7272329348222877
桌子,table,0.7269140074645011
烟斗,pipe,0.7268197977851758
信,letter,0.7266773196543138
十二月,december,0.7266691208972373
甜,sweet,0.7259041068975359
皇家,royal,0.7252422167677083
而且,and,0.7246618652489946
滤去,leaching,0.7245671404499392
夷,hawaii,0.7244689719046409
毛发,hair,0.724223921445908
法院,court,0.7242229929276206
发动机,engine,0.7241206333471402
存款额,current,0.7237136527293843
领先于,lead,0.7233527679926538
背靠背,back,0.722579719233459
歌唱家,singer,0.7225750923790596
大衣,coat,0.7225631272994312
二月,february,0.7223618423701906
向我,me,0.7219674001562728
价格,price,0.7218557233717416
或以,or,0.7215830326777699
从,from,0.7215680167010422
明亮,bright,0.7213497072428423
两位,two,0.7210893769611889
那里,there,0.7210188468613373
材料,material,0.7206988928344861
手腕,wrist,0.7203545661182696
应用软件,applications,0.7200651262844688
油画,painting,0.7200285645395115
市长,mayor,0.720009987582759
卫星,satellite,0.7198912410424152
经理,manager,0.7198700003560482
一把,a,0.7197826462140191
板子,board,0.7195862787743892
任何,any,0.719497950036892
摩擦,friction,0.7194794662207419
无线电,radio,0.7188632484458806
混凝土,concrete,0.7188412244659469
连衣裙,dress,0.7187781313835137
鸡肉,chicken,0.7186221046662429
最好的,best,0.7181990753583439
格律,metrical,0.718044862654735
鲑,salmon,0.717975072243395
花瓣,petals,0.7179029325610063
比利时,belgium,0.7177637537428642
表达式,expression,0.7175146438356215
照相机,camera,0.7172074862424652
梯子,ladder,0.7171285417485485
希伯来,hebrew,0.716923355373132
陌生,strange,0.7169124271713254
伞,umbrella,0.7168746103257176
皮革,leather,0.7166691141267456
东南部,southeast,0.7162744071897205
克林顿,clinton,0.7153504367460478
同一,same,0.7153016210761755
芭芭拉,barbara,0.7152670559104722
代码,code,0.7146296585404144
纵横,crossword,0.7143685116489061
穗轴,cob,0.714196724559606
不语,the,0.7140808281021163
花朵,flowers,0.7139675139689843
扇门,door,0.713834390794148
月球,moon,0.7138305621369991
陪审团,jury,0.7135626262713974
路易斯安那州,louisiana,0.7135491720472872
全都,all,0.7135401828796016
诗人,poet,0.7130635893098427
警方,police,0.7127795484385443
或可,or,0.7127320005921122
沉重,heavy,0.7126098216617779
歌,song,0.7123928750592381
买了,bought,0.7123854062174929
准予,granted,0.7120322976208401
约克,york,0.7119437339626739
疼痛,pain,0.7116319592679567
氨,ammonia,0.711456740099611
大自然,nature,0.7111174197140924
把,the,0.7109872066686835
戏,play,0.7109555759018747
大楼,building,0.7102321742867682
它有,it,0.7101396696408488
刚赶,got,0.7100097455316964
玛,mary,0.7099895964232307
承继,assume,0.7095921325508541
保险柜,safe,0.7095903551189358
议案,bill,0.7094665904695648
蜡烛,candle,0.7093770925935479
橙,orange,0.7093251311859132
歹徒,the,0.7091985771839704
外套,coat,0.7091971753254914
耶路撒冷,jerusalem,0.7091202069264175
尼龙,nylon,0.7089870401898632
毁减,ravages,0.7089594872803122
哲学,philosophy,0.70886604992683
律师,lawyer,0.7088254717796972
女士们,ladies,0.7086747275453481
冲上,the,0.7083813855764357
最佳,best,0.708333022067915
办事处,office,0.7081638746799201
说道,said,0.7080656434004227
带着,with,0.7079901574630135
司机,driver,0.7077841527187386
星星,stars,0.7077316513005024
甲板,deck,0.7076489819793434
那你,you,0.7071083253470298
四月,april,0.7070553041914069
1948,was,0.7069501971670059
日间,daytime,0.7068987072578714
接线员,operator,0.7067104290410112
引擎,engine,0.7066946512422269
那只,the,0.7064751234656292
成骨,formation,0.7064680416109244
进一步,further,0.7062296623422316
伊利,illinois,0.7061970824015064
夏季,summer,0.7060842248532077
新鲜,fresh,0.706013437689063
剑,sword,0.705862095288502
廉价,cheap,0.705756020328707
质量,quality,0.7055229921149734
晋升,promotion,0.7054145526873783
黄金,gold,0.705363038026543
陆地,land,0.7049541835679348
涂有,as,0.704693413823993
季节,season,0.7044043633854299
轻型,light,0.7043685257695158
时间,time,0.7042027605754199
蔚蓝色,blue,0.7041565529763655
温度,temperature,0.7041343063465763
干燥,dry,0.7040002090726357
牛津,oxford,0.703923924474
第一批,first,0.7039131858542295
表格,form,0.7037537989000445
左,left,0.703705075500856
字母表,alphabet,0.7037047039201294
十月,october,0.7032209067968662
四种,four,0.7031334531584926
第五,fifth,0.7030364921767583
记忆,memory,0.7027294380221644
平面球形图,sphere,0.7024369471293299
最亮,brightest,0.702431709646345
抽象,abstract,0.7023352798074766
孤僻,dissociable,0.70226249920285
圆柱形,cylindrical,0.7021323242145725
撰稿人,lancer,0.7019936072212369
小汽车,car,0.7019714189098261
诈术,a,0.7017696740569199
工程,project,0.7015443862899307
某一,a,0.7015336348340016
信贷,credit,0.7013725352834029
更好,better,0.7013374163429674
博物馆,museum,0.7012085738554645
美丽,beautiful,0.7010227494262535
舞台,stage,0.7009654293336911
如何,how,0.7008873631229882
该国,country,0.7008715509748519
或用,or,0.7007683556715738
协议,agreement,0.7007249949183615
婆罗洲,borneo,0.7006945065762946
流人,drain,0.7006299017141985
天津,tianjin,0.7002062845779548
凸透镜,lens,0.6998010038705946
冷,cold,0.6997564672937249
粉红色,pink,0.6996192916654659
视频,video,0.6993519200930296
脸上,face,0.6992600663285804
生理学家,physiologist,0.6990667192333467
苏格拉底,socrates,0.6989460245924488
朝我,me,0.6985855968159816
地图,map,0.6985742646355037
犯罪,crime,0.6983142345022053
亲笔,holographic,0.698232089858745
过滤器,filter,0.6980739892182852
眼泪,tears,0.6978457695238809
司法部,law,0.6977669569294824
小镇,town,0.6975789806236378
月亮,moon,0.6975538624019163
纱线,yarn,0.6974310472705633
液体,liquid,0.6972381905627448
砖石,masonry,0.6972340644612238
拿破仑,napoleon,0.6971666836353995
历史剧,presentation,0.6969608409897522
她把,she,0.6969094702393326
有些,some,0.6968662345045049
但在,but,0.6968360188549476
轮船,ship,0.6968187531340182
风笛,bagpipe,0.6966599412290804
爱丁堡,edinburgh,0.6966499848713001
西班牙语,spanish,0.6964509280602584
调职,transferring,0.6964062772009357
偏西,west,0.696020344955983
风暴,storm,0.6955345588539259
向你,you,0.6952486581202779
加利福尼亚州,california,0.695108463277377
血债,blood,0.6949137076837009
用血,blood,0.6949137076837009
特别是在,especially,0.6947541403008742
岩石,rock,0.6946462806844304
多么,how,0.6946361652329919
一集,episode,0.6946122217626376
即使,even,0.6945530026966991
6,six,0.6944278930449093
粗绳,rope,0.6942785006489824
号码,number,0.6942360229836496
谋杀,murder,0.6938667890801148
饭店,hotel,0.693852015238705
向她,her,0.6936994181831722
围上去,mobbed,0.6935534667049615
姐姐,sister,0.6935483952882749
首先,first,0.693486122422655
墙上,wall,0.6933646739701815
程序设计,programming,0.6933457188485477
尾巴,tail,0.6932661730605969
叛国罪,treason,0.6932488811502496
群体,group,0.6929649704153448
冰,ice,0.6928469877913572
鞠,bowed,0.6928080341714412
平均,average,0.6927815566028309
好几,several,0.6926061239960363
总统,president,0.692503454357197
亭子,pavilion,0.6923985125659134
正如,as,0.6923841754129003
归国,returned,0.6922095010443372
收入,income,0.6917982935641878
谋杀案,murder,0.6916943526931825
提炼,and,0.6915987215760536
熊,bear,0.6914913868148074
并行,parallel,0.6913830255734004
圆柱体,cylinder,0.6911305105568758
眼中,eyes,0.6910038447161078
远程,remote,0.6909990557327501
