汉语,英语,概率
鹿,deer,0.9468462247883414
食物,food,0.9458369673345445
史密斯,smith,0.9433057994975073
三,three,0.9400668574587314
清茶,tea,0.939275432747836
面粉,flour,0.9385030784879629
智利,chile,0.9355658952109261
新的,new,0.9347454791180283
并,and,0.932943118377017
和,and,0.9322599971356941
数据,data,0.9319740508210524
巴黎,paris,0.9316955960011255
能量,energy,0.9302793000150263
红,red,0.9286724131166718
其它,other,0.9282421952000247
白色,white,0.9257549184307284
密西根,michigan,0.9255727171817526
西南,southwest,0.9252610713047446
实业,industrial,0.9229870395081794
汇兑,exchange,0.9229869590180776
开证,requesting,0.9229866476037338
东北部,northeast,0.9214793298790513
父母,parents,0.9198196454228026
串户,door,0.9194951768687158
牛奶,milk,0.9189319359518056
柔软,soft,0.9185798294040022
比尔,bill,0.9185000445669942
咖啡,coffee,0.9182501678041803
先生,mr,0.9148935332206874
军事,military,0.9132418322985102
西南部,southwest,0.9131310594412732
软件,software,0.9126304531128576
秘书,secretary,0.9099000037625706
魁北克,quebec,0.9098130467022152
约翰逊,johnson,0.9086270203250512
音乐,music,0.9085824645350207
可读性,readable,0.9081384716299375
村子,village,0.9072267228389572
上尉,captain,0.9069405879304311
杰克,jack,0.9068976909024582
橡胶,rubber,0.9065185529074818
寒冷,cold,0.9057372426270186
老,old,0.9035736930265927
重量,weight,0.9033548492760158
黄油,butter,0.9032537845322761
嫌忌,hatred,0.9014921366526755
她的,her,0.9011471460985582
王,wang,0.9011008329415587
但,but,0.9005596238458592
房子,house,0.9004533891540957
织物,fabric,0.9000269230986611
树叶,leaves,0.8995953333161755
乔治,george,0.8994542774337624
伦敦,london,0.8987220391080987
但是,but,0.8976433141042656
餐馆,restaurant,0.8973829481960789
皮肤,skin,0.8970241499709518
烤鱼,fish,0.8968820237759814
牙买加,jamaica,0.8964333860241563
圣诞,christmas,0.8958807239261055
村庄,village,0.8951967658775265
钢,steel,0.8947118493966196
官方,official,0.894425742034822
更多的,more,0.8943184961948073
空气,air,0.8938420095871321
啤酒,beer,0.8921731766964375
鱼,fish,0.8921448007170973
电路,circuit,0.8880292665595699
市镇,town,0.8879605283312872
尤其是,especially,0.8865765234539555
蓝色,blue,0.8860479076863531
且,and,0.8855658376270023
牛肉,beef,0.8855640798139314
黄色,yellow,0.8854680999453719
铁丝,wire,0.8844554556805886
这儿,here,0.8831431045185619
该项,the,0.8829126780637803
绞碎,ground,0.8812879014687085
电视,television,0.880827120840528
医院,hospital,0.8798291298139296
人口,population,0.8789603600413922
留底,duplicate,0.8787458239353466
鼻子,nose,0.8779059666932828
早餐,breakfast,0.8771372843596315
巴顿,patton,0.8757017978170779
其他,other,0.8753566007251614
信息,information,0.8740420231405841
间或,or,0.8737830431400475
贸易,trade,0.8721606208797631
前臂,the,0.8698060151074526
交融,mobile,0.8696630474252101
小麦,wheat,0.8694608339340321
帽子,hat,0.8694047949523362
通货膨胀,inflation,0.8687547434748591
上帝,god,0.8685995740311699
街,street,0.8679705874084356
下午,afternoon,0.8677699477523605
法语,french,0.8667217632572667
套汇,exchange,0.8667166025445164
如果,if,0.8664512930977245
这里,here,0.8659913300504113
输出,output,0.8638843773428372
战争,war,0.8617082450961979
钢笔,pen,0.8614398110994411
房间,room,0.8596826147377392
曹,sergeant,0.8589613799979586
会计部,accounting,0.8589424064050167
从不,never,0.8585490829511705
尤,especially,0.8582232637673158
肉,meat,0.8579063916962281
家具,furniture,0.8577308566544841
棒球,baseball,0.8572609378766135
五,five,0.8572317848755994
现金,cash,0.857095191695
棉花,cotton,0.8567512673558452
湖,lake,0.8557694047793494
金钱,money,0.8548437885044659
政策,policy,0.8544829911042513
外国,foreign,0.8541298477089675
友谊,friendship,0.8536544877101793
昨天,yesterday,0.8534395062874134
布朗,brown,0.8526938172224819
从来,never,0.8526306301755487
六月,june,0.8514566548183385
爱情,love,0.8511505384445488
历史,history,0.8504732976414893
马鞍,saddle,0.8501781498883219
特指,especially,0.8500706547705444
教堂,church,0.8500313330961505
抱紧,embraced,0.8499262402583082
银行,bank,0.8498894633837645
吉姆,jim,0.8495140062258293
有时,sometimes,0.8494211341209199
大约,about,0.8486905611171318
两条,two,0.8478187685957048
网络,network,0.8478058361129992
英文,english,0.8475778381276201
地板,floor,0.8475450671465836
芝加哥,chicago,0.8474274719662238
糖,sugar,0.8468208745075367
面包,bread,0.8467492518498073
上午,morning,0.8460816564799173
影片,film,0.8456540776362454
圣诞节,christmas,0.8448931962204644
血液,blood,0.844872163402877
和平,peace,0.8437250081104797
屏幕,screen,0.8434491127406658
怀特,white,0.8432538192979437
心脏,heart,0.8430949561334994
名字,name,0.8421613365234594
上海,shanghai,0.8421016907309464
棉,cotton,0.8417489185832715
那儿,there,0.8415464555265912
铁,iron,0.8414460549761736
匹兹堡,pittsburgh,0.8410357967197427
棉布,cotton,0.8405218492733524
坏,bad,0.8403855403192552
一根,a,0.8401953399057749
水,water,0.839955085777156
亨利,henry,0.8399089904732057
雪,snow,0.8391083237730911
之间,between,0.8383845339615519
西北,northwest,0.8382094427353476
开发部,development,0.8381947752603229
固体,solid,0.8374447323711697
夜,night,0.8373491499735134
六个,six,0.8371058121862512
夏天,summer,0.8368055085870995
脏,dirty,0.8368050796981221
花园,garden,0.8366546822199786
在这里,here,0.8360824365006014
佣金,commission,0.835764357848584
计算机,computer,0.8354522635317119
或在,or,0.8351033592971742
分批,split,0.834653464553521
足球,football,0.8342778212400869
给定,given,0.8339687268200451
彼,peter,0.8339632495483128
气态,gaseous,0.8338876652888875
村,village,0.8335634638957174
煤,coal,0.8334919278154166
猫,cat,0.8333782989416372
生意,business,0.8333419940078433
如在,as,0.832920286923692
二进制,binary,0.8327890010495929
标志着,the,0.832501472825676
俱乐部,club,0.8323202268360103
大卫,david,0.8311226720686933
土地,land,0.8305193991664782
哦,oh,0.830108991083553
政府,government,0.8297196174220927
金属,metal,0.8293425767664614
更多,more,0.8287945945946663
机器,machine,0.8286757757683266
干草,hay,0.8280825872455158
小说,novel,0.8275690251329508
园丁,gardener,0.8272179195658517
腌制,pickled,0.827142317055044
盐,salt,0.8270251447629097
桥,bridge,0.8264650101658927
捣碎,into,0.8261777323101628
人和,and,0.8261063640380633
将它,it,0.8258572100613194
办公室,office,0.8254978907550802
常常,often,0.825412749519055
学校,school,0.8250911855734848
椅子,chair,0.8249185623463138
婚姻,marriage,0.8244487630380812
家和,and,0.8242605447754291
所有,all,0.8235813456234805
北京,beijing,0.8233178490452195
床,bed,0.8230234140549993
来自,from,0.8230081298703071
宫殿,palace,0.8229492182658464
丑闻,scandal,0.8229253618805134
沙漠,desert,0.8228577582835013
可是,but,0.8226298835079511
车子,car,0.822477880888598
总监,director,0.8222952128895588
狗,dog,0.8221561286720209
直至,until,0.8221205087339604
系统,system,0.8214514809682686
火灾,fire,0.8211726192760024
甘油,glycerol,0.8208720332707509
四,four,0.820337397029206
绿色,green,0.8194428218792937
故事,story,0.8187217127603552
莎士比亚,shakespeare,0.8183834928215155
玉米,corn,0.8183272899810816
英尺,feet,0.8179530331737437
帐户,account,0.8174797982369915
公牛,bull,0.8173042942014956
背部,back,0.8169919614735934
可怜,poor,0.8163973915539727
消息,news,0.816324103482828
作响,the,0.8160293604180906
炎症,inflammation,0.8158430716340127
在我的,my,0.8144437721800194
那头,the,0.8143542214159329
一般说来,generally,0.8139262068785703
六,six,0.8139172080218051
古代,ancient,0.813448592250415
右,right,0.8133726774393242
野战,field,0.8129895639426151
性虐待,abuse,0.812904916965895
这位,the,0.8122925537203608
并在,and,0.8118974104220009
简,jane,0.81022098657898
羊毛,wool,0.810117887721639
丁,martin,0.8095915925621453
母亲,mother,0.8094053977413453
疹,eruption,0.8079220435992157
3,three,0.8076860445233022
妹妹,sister,0.8075458225638279
棕色,brown,0.807295761374418
所有的,all,0.8072626992573351
河,river,0.8070042283481904
甚至,even,0.8067877218322839
罐装,canned,0.8067121381919028
事故,accident,0.8067044111411402
市场,market,0.8066511742815652
理论,theory,0.8056197028408307
光,light,0.8044762946996498
平行,parallel,0.8044270848087235
翰,john,0.8040131162855302
句子,sentence,0.8039981475008016
太空,space,0.8037826824267119
通常,usually,0.803470838991378
水果,fruit,0.803271130630302
珍珠白,yellowish,0.8031698322354779
天花板,ceiling,0.8030890558471817
铅笔,pencil,0.8027301003932988
类似的,similar,0.8026727400679717
出厂,vintage,0.8025533988455099
球队,team,0.8024213034950156
算术,arithmetic,0.8024163569679923
聚会,party,0.8023985587270478
尤其,especially,0.8016177173680428
进去,in,0.8016044935406171
字典,dictionary,0.8015285539800022
这座,the,0.8014568801060535
暴力,violence,0.800560025954134
李斯特,liszt,0.8005458766622595
王子,prince,0.7998294805819111
请,please,0.7993182532435283
宣布独立,independence,0.7990504726154191
婴儿,baby,0.7989721766576025
世界,world,0.7988977775462174
宾夕法尼亚州,pennsylvania,0.7987017950760505
之前,before,0.7984221535123337
明天,tomorrow,0.7983910873916266
按揭,mortgage,0.7982426699731058
华盛顿,washington,0.7980885615165896
预算,budget,0.7976435634534079
两种,two,0.7976326429316221
茄克,jacket,0.7976030669209822
两根,two,0.7970825955433283
知识,knowledge,0.7967243555479803
戴在,worn,0.7966849110804822
总是,always,0.7964017311993669
睡眠,sleep,0.7961866295800428
今日,today,0.7952803013336112
早上,morning,0.7945354795217151
饭馆,restaurant,0.7942015738598717
德语,german,0.7937593240129038
纸,paper,0.7936069992392395
地址,address,0.7935320684069784
摄像机,camera,0.7928141709837057
驱,the,0.7927322010169396
物理学家,physicist,0.7915379093672759
灰尘,dust,0.7914823866974623
秘密,secret,0.7912224728855665
拿好,collect,0.7902736622265272
生命,life,0.7900526193897537
地中海,mediterranean,0.7894480325417864
早晨,morning,0.7889906901733934
山谷,valley,0.7886242441514566
茶,tea,0.7884759366217239
分钟,minutes,0.7884573178165947
党,party,0.7883070502732336
你,you,0.7876083142949508
员工福利,benefits,0.7872600125299193
们,the,0.7871465439210474
花瓶,vase,0.7867491572679219
放射性同位素,isotope,0.7864268239662926
半岛,peninsula,0.7855937042746483
琼,jones,0.7854817790011591
妻子,wife,0.7852582815935788
歌剧,opera,0.7851784312547546
您,you,0.7846980730658953
羊,sheep,0.7844767903535352
公众,public,0.7844317872457168
父亲,father,0.784308102416038
高尔夫球,golf,0.7838150979530841
食品,food,0.7835132678509791
温哥华,vancouver,0.7828457660821766
稣,jesus,0.782609956188562
网球,tennis,0.7820874568649342
政治上,political,0.7815942144548713
第一,first,0.7814156773478516
冬季,winter,0.781131238152077
脖子,neck,0.7809216031330105
向后,back,0.7808857873806904
肾盂,collecting,0.7808512023077703
磅,pounds,0.7808207671885841
工厂,factory,0.7804664290100929
那名,the,0.7798969049979234
并把,and,0.7797497100655435
马克,mark,0.7796303723543488
发票,invoice,0.7794500380872185
第三,third,0.7794487716424383
乡间,country,0.7791778624310401
血,blood,0.7788002073210362
鸟类,birds,0.7787780774336222
泪水,tears,0.7787601304004652
公共汽车,bus,0.7787530359922424
1089,be,0.778711311413665
仍然,still,0.778524190543986
油,oil,0.7783588597454585
实践,practice,0.7779469953435153
请把,please,0.7765939845173454
窄的,narrow,0.7762644582609775
冲上,the,0.7762017499573501
台湾,taiwan,0.7759314948777504
软,soft,0.7758011900793066
叔叔,uncle,0.7757756785264557
在她,her,0.7757543830529793
鞋子,shoes,0.7755881845272495
女儿,daughter,0.7755602510392989
勇气,courage,0.7754647886175959
罗伯特,robert,0.7739790782653526
制成,made,0.773356170785572
鲍,bob,0.7731641659721775
旅馆,hotel,0.7731353670039274
杆,a,0.7730573477738081
一个,a,0.7729584630445436
经验,experience,0.7725009267512307
舌头,tongue,0.7722650491875356
脸,face,0.7722187892676328
本地,local,0.772174789107148
保护性,protective,0.7713060164535994
那条,the,0.7711696176684981
丈夫,husband,0.7709277583017505
亚伯拉罕,abraham,0.7707480938027292
屋顶,roof,0.7707031273989109
词典,dictionary,0.7706855811252933
手表,watch,0.7704443565779524
印度,india,0.7703521225563643
第一个,first,0.7702685863379595
空间,space,0.7702649558628958
塑料,plastic,0.770260310700489
八个,eight,0.7701513456202969
打字机,typewriter,0.7701028959878391
树皮,bark,0.7697524297828782
回家,home,0.7694194846874799
瓶子,bottle,0.7693968167314983
超自然,supernatural,0.7692719150007545
未来,future,0.7692176253066867
加拿大,canada,0.7686386981881002
合同,contract,0.7684332660471316
不久,soon,0.7683709215370037
刀,knife,0.7680765759642627
物以类聚,like,0.7675918787600652
癌症,cancer,0.7673216688336063
林肯,lincoln,0.7672393377761236
冬天,winter,0.767035342257439
人生,life,0.7669772864276678
惯用,handed,0.7666224866738586
敌人,enemy,0.766495402578196
老师,teacher,0.7660269907930806
该州,state,0.7659502706480308
审判,trial,0.7659044267563287
儿子,son,0.7658007556882579
一半,half,0.7650659102630207
不过,but,0.7650034851454363
长度,length,0.7645251097353514
危机,crisis,0.7642146742928662
面孔,face,0.764066699232352
肥皂,soap,0.7635725086941061
列车,train,0.7633444641469348
文艺复兴,renaissance,0.7633022177091687
炮艇,vessel,0.7631565384905469
白白的,naked,0.7631004195270542
短语,phrase,0.7618998565946126
放射性,radioactive,0.7617039928840609
海伦,helen,0.7616946004703543
女孩,girl,0.761537223518789
铅,lead,0.7609029202279176
惟一,only,0.7608127442719562
只有,only,0.7606285623877368
门上,door,0.7605323205080237
银,silver,0.7604843628905057
外衣,coat,0.7600954656497126
变速器,transmission,0.760051142735185
含有,containing,0.7597452591779305
新型,new,0.7595715596712115
以东,east,0.7593239853797117
透过,through,0.7585864736294611
石油,oil,0.7583655629528149
我,i,0.7582696071918162
热带,tropical,0.7582461834637859
午饭,lunch,0.7581267934878693
当地,local,0.7576006228177465
主修科目,major,0.7575718831463507
硬件,hardware,0.7571362127177909
一种,a,0.7569579251958639
妈妈,mother,0.7564489107868961
一些,some,0.7560801484615068
透视,perspective,0.7560504058507697
众议院,house,0.7555652601873305
春天,spring,0.7552245351417165
海上,sea,0.7547973525451859
男孩,boy,0.7546961391777025
家人,family,0.7544993171755028
五月,may,0.7539133605596355
将军,general,0.7537791773875786
除非,unless,0.7535752639363396
朋友们,friends,0.7532430925325972
作为,as,0.7531657319353193
品味,taste,0.753157601848493
电报局,telegram,0.7528410014494458
更好的,better,0.7527626773913673
盒子,box,0.7524285068494159
古老,old,0.7522433009205014
双手,hands,0.7520930684620316
首都,capital,0.7517977033724199
图书馆,library,0.751793298337505
表面,surface,0.7514128120168
生日,birthday,0.7513533384796364
树木,trees,0.7513098074655171
微风,breeze,0.751102955247866
大多数,most,0.751035956312102
之后,after,0.7507001460890174
暴风雨,storm,0.7504935703745874
窗,window,0.7504383161920688
英格兰,england,0.7503725797185153
不语,the,0.7500810829806004
著名的,famous,0.750065662318453
詹姆斯,james,0.7500373487366728
喂饭,feed,0.7497968321873274
演说,speech,0.7494990008115038
谷物,grain,0.7491285054561021
猪肉,pork,0.7487401276921727
条,a,0.7484877473518851
要是,if,0.7484840966557603
或是,or,0.7483936955992494
保罗,paul,0.7483911471784287
厚重,heavy,0.7483779248121595
教师,teacher,0.7483613851515949
法庭,court,0.7483469425445768
为什么,why,0.7482821172092677
俄克拉荷,oklahoma,0.7481959006481487
大西洋,atlantic,0.7481615746446594
大街,street,0.7481172370671261
手稿,manuscript,0.748064094587604
老板,boss,0.7480026708006429
49683,give,0.7479981327602706
内线,house,0.7479880369342061
在那里,there,0.7473422160111297
苏珊,susan,0.7472002858293387
头部,head,0.7471846359423828
山脊,ridge,0.7470949412647644
广场,square,0.7469978600444217
收据,receipt,0.7469957851843738
伊利,illinois,0.7469222316753682
皇帝,emperor,0.7469163511987124
鲑,salmon,0.7464616688732394
镇上,town,0.7464031842119534
从未,never,0.7462889641452214
不透明,opaque,0.7454994500464615
薄,thin,0.7453702220875028
运算符,operator,0.7452961576799846
现在,now,0.745286007274159
年轻,young,0.7447691401488137
领袖,leader,0.7447679886208904
龋,decay,0.7446104944814396
煤气,gas,0.7445514344114303
电脑,computer,0.7443063130690477
给我,me,0.7439071378700486
琳,linda,0.7439062272007548
一栏,column,0.7437388632411163
篮子,basket,0.7432705017981531
采矿,mining,0.7429176344816236
焰火,fireworks,0.7428698716280402
马来西亚,malaysia,0.7424849280782885
领子,collar,0.7422941553621621
集团,group,0.7418792812328846
汉语,chinese,0.7416359946444071
火车,train,0.7415168303415399
群居,social,0.7414350372683214
双肩,shoulders,0.7410218731161478
姑娘,girl,0.7409998625773048
猫猫,an,0.7409231784339437
收音机,radio,0.7405291187770441
玛,mary,0.7404154370797449
常是,often,0.7402653913721028
10,ten,0.7402197525805296
乔,joe,0.7400948647365394
米饭,rice,0.7397262335840621
推销员,salesman,0.7396886532640671
已婚,married,0.739479682834372
早期,early,0.7393674505539748
粘土,clay,0.7393656206992439
歹徒,the,0.7393055991577054
姑妈,aunt,0.7392050908732889
南部,southern,0.7391871567160916
昂贵,expensive,0.7391466821780376
葬礼,funeral,0.7387431347985466
社区,community,0.7386281848492962
城市,city,0.7384129368843487
一生,life,0.738359130744167
该党,party,0.7380189946130289
唯一,only,0.7372852047762426
建筑师,architect,0.7369535877588891
抽屉,drawer,0.7368533466747257
蓝,blue,0.7364296896248869
婚礼,wedding,0.7360968827678956
燃料,fuel,0.736046196857324
那位,the,0.7360262354771038
而且,and,0.7360092075884854
氧,oxygen,0.735843451218964
钢琴,piano,0.7356741466712922
光线,light,0.7356346969789551
婆罗洲,borneo,0.7356146640809432
城堡,castle,0.7354484048146797
鞠,bowed,0.7354088516305036
葡萄酒,wine,0.7353816613936883
手臂,arm,0.7353741681089494
尽可能,as,0.7351667309048143
大理石,marble,0.7350750809647514
骨盆,pelvic,0.7344701783460498
夷,hawaii,0.7341064553610829
长长的,long,0.733910998263776
炸弹,bomb,0.7335784910076448
死亡,death,0.7330975543604965
反对党,opposition,0.7330791493203439
蛋糕,cake,0.7329517925100044
早饭,breakfast,0.7329389571185995
音乐会,concert,0.7326084620356864
厨房,kitchen,0.7323627067733073
十二月,december,0.7322240318416241
语言,language,0.731639427321197
滤去,leaching,0.7314266708225737
敌军,enemy,0.7311732208621239
热量,heat,0.731155842580959
墨经,furies,0.7310919831538554
领先于,lead,0.731077880209679
地球,earth,0.7307421913364273
爱因斯坦,einstein,0.7307000366867743
模型,model,0.7306134478549312
信,letter,0.7300475342779105
1948,was,0.7299245198449441
大衣,coat,0.729856113950051
一把,a,0.7298403272105043
二月,february,0.7295961158784438
或以,or,0.729460449605355
桌子,table,0.7294460185373481
财产,property,0.7289775385986816
字母表,alphabet,0.7284644053323014
比利时,belgium,0.7283511187147115
发动机,engine,0.7280435686312244
墙壁,wall,0.7277633334233116
法院,court,0.7277591374961634
天然的,natural,0.7276793333358799
教授,professor,0.7276606300923869
怎样,how,0.7275957908055497
两位,two,0.7274126470293688
皇家,royal,0.7270959928343297
加利福尼亚,california,0.7268852199817967
公园,park,0.7268432075744885
血中,plasma,0.726426799691807
莫斯科,moscow,0.7263939518804441
格律,metrical,0.7263618455389503
把,the,0.7260459042200231
那只,the,0.7258488188811116
乡村,country,0.725740265399083
碗,bowl,0.725731841236299
价格,price,0.7255168366574933
穗轴,cob,0.7254386549175239
甜,sweet,0.7254124096430388
结构,structure,0.7253722725822032
涵洞,a,0.7251568543862702
表达式,expression,0.7249352312650896
裤子,trousers,0.7241344569346374
涂有,as,0.7241103590593384
毁减,ravages,0.7238696728556439
烟斗,pipe,0.7238140256770328
扇门,door,0.7237459658668441
存款额,current,0.7236781492588856
混凝土,concrete,0.7233226105940289
扁,flat,0.7231392275666797
歌,song,0.7230606103404676
月球,moon,0.7226137317628097
诈术,a,0.7218493649088786
任何,any,0.7217081797778557
阿波罗,apollo,0.7215957847271134
浅色,light,0.7214491024735659
明亮,bright,0.7213934867588749
皮革,leather,0.721379745187925
准予,granted,0.7213097350910848
歌唱家,singer,0.7211339464616056
从,from,0.7209156145037722
那里,there,0.7208585020445049
路易斯安那州,louisiana,0.7206893361264788
鸡肉,chicken,0.7205424699306365
约克,york,0.7202131030200435
梯子,ladder,0.7201825354115494
克林顿,clinton,0.720141191765457
伞,umbrella,0.7193844612084598
芭芭拉,barbara,0.7191853201251373
轻型,light,0.7191468950280894
毛发,hair,0.7190838830451828
氨,ammonia,0.7187848903683383
尼龙,nylon,0.7187047979912992
材料,material,0.7182669352435275
最好的,best,0.7181023040186226
希伯来,hebrew,0.7179995556272525
代码,code,0.7179769145838717
戏,play,0.7179261088921495
经理,manager,0.7173378256180363
向我,me,0.7172318628750278
连衣裙,dress,0.7171926088809781
照相机,camera,0.7170995983156071
应用软件,applications,0.7169320440594105
刚赶,got,0.7166128060880586
某一,a,0.7165305103147509
甲板,deck,0.7162385565192911
市长,mayor,0.7161864261751769
一条线,line,0.7161566747283
承继,assume,0.7160946543697281
带着,with,0.7159718562470334
手腕,wrist,0.715502453341016
沉重,heavy,0.715395356649552
陪审团,jury,0.7151950425129581
东南部,southeast,0.7151693557602314
卫星,satellite,0.7150564013676747
新加坡,singapore,0.7145479765137566
陆地,land,0.7144385870485238
背靠背,back,0.7143257346978026
无线电,radio,0.714279164410581
油画,painting,0.7140899353930497
诗人,poet,0.7139873386272374
剑,sword,0.7137626119959858
疼痛,pain,0.7137102057777447
那你,you,0.7136542553110925
季节,season,0.7135760669916864
议案,bill,0.7135626038179286
成骨,formation,0.7133055622659868
全都,all,0.7129645669038764
第五,fifth,0.712945000957778
哲学,philosophy,0.7128203712674229
花朵,flowers,0.7121495254344489
第一批,first,0.7120883843590785
花瓣,petals,0.7117608230870426
大自然,nature,0.7116857251847719
买了,bought,0.7114404094779906
苏格拉底,socrates,0.7111533757267688
女士们,ladies,0.7111379260397148
同一,same,0.7110029468230498
晋升,promotion,0.710859278284378
蔚蓝色,blue,0.7108177527443557
摩擦,friction,0.7107756731927125
律师,lawyer,0.7103013466140722
夏季,summer,0.7101419729836421
警方,police,0.7094163878946093
廉价,cheap,0.7093790672037141
平面球形图,sphere,0.7091994258433428
质量,quality,0.7091520582278025
程序设计,programming,0.7091349174515295
它有,it,0.7089375587823334
引擎,engine,0.7087205159469487
陌生,strange,0.7083197660002437
司机,driver,0.708256460710322
四种,four,0.7079715217352277
黄金,gold,0.707909650311934
加利福尼亚州,california,0.7078659563268052
新鲜,fresh,0.7077999441946266
接线员,operator,0.7075695630304653
办事处,office,0.7073379080143717
亲笔,holographic,0.7068478853429858
日间,daytime,0.7067707587290044
星星,stars,0.7067330861834685
历史剧,presentation,0.7062141496894471
十月,october,0.7054939456477008
蜡烛,candle,0.7053240743510749
最亮,brightest,0.7052395922969529
保险柜,safe,0.7050103919605762
突尼斯,tunisia,0.7049432161748383
天津,tianjin,0.7047114984620096
外套,coat,0.7045357713639201
或用,or,0.7044183904944267
大楼,building,0.7043769198303568
流人,drain,0.704307364593286
温度,temperature,0.7042640047653356
西班牙语,spanish,0.704086614073426
进一步,further,0.7040675571439874
该国,country,0.703988024030326
左,left,0.7039507135977872
脸上,face,0.7039011156881468
并行,parallel,0.703799809031838
岩石,rock,0.70365962649929
提炼,and,0.7036501284654165
最佳,best,0.7035943536679807
远程,remote,0.7034118957278384
撰稿人,lancer,0.7032102894551014
干燥,dry,0.7032002638299003
牛津,oxford,0.7031051557346312
冷,cold,0.7030895608201818
工程,project,0.7030593082845172
风笛,bagpipe,0.7029138994580091
表格,form,0.7027672820322705
一集,episode,0.7025152606356959
协议,agreement,0.7024646674494617
孤僻,dissociable,0.7020204419503141
河床,bed,0.7018458761438517
或可,or,0.7018272746039234
博物馆,museum,0.7017804716958869
纵横,crossword,0.7017535726653632
凸透镜,lens,0.7017099314668189
偏西,west,0.701327267829798
时间,time,0.7010917173552553
司法部,law,0.7010651298907152
四月,april,0.7007538119867706
抽象,abstract,0.7007218212841266
板子,board,0.7006355411479047
谋杀,murder,0.7004073124008103
美丽,beautiful,0.7003840152267168
圆柱形,cylindrical,0.7003726467961825
橙,orange,0.7003355938982
围上去,mobbed,0.7001772161083213
即使,even,0.7001093146366041
视频,video,0.6996680856431623
砖石,masonry,0.6996016816060456
舞台,stage,0.6994900885365893
好几,several,0.6993027506516445
平均,average,0.6990996868139511
大蒜,garlic,0.6988268524957442
多么,how,0.6985011950941614
犯罪,crime,0.698238552923219
小汽车,car,0.6982148850305266
月亮,moon,0.6981031993671772
叛国罪,treason,0.6980044414498824
有些,some,0.6977315479313718
说道,said,0.6976893330823648
一顶,a,0.6976680626912624
首先,first,0.6974555349628863
一位,a,0.697364125735889
冰,ice,0.697328473379112
信贷,credit,0.6972828941857331
如何,how,0.6972361406250567
耶路撒冷,jerusalem,0.6969998087839456
眼泪,tears,0.6969974504487361
记忆,memory,0.6968935515515036
亭子,pavilion,0.6968496208334339
朝我,me,0.696724320895192
地图,map,0.6966262973111664
调职,transferring,0.696606771983411
更好,better,0.6965874729794722
墙上,wall,0.6965043549628309
她把,she,0.6964880128543471
过滤器,filter,0.6962202946078906
实数,real,0.696150974208778
若,if,0.696116735948497
化学家,chemist,0.695826121543236
血债,blood,0.6955713000383041
用血,blood,0.6955713000383041
6,six,0.6949136325563504
当你,you,0.6946539605155089
比,than,0.6946243212254697
但在,but,0.6944977678608308
拿破仑,napoleon,0.6942696576785768
粉红色,pink,0.6941424748371309
尾巴,tail,0.6939346257770823
号码,number,0.6939103614842872
轮船,ship,0.6938479673580223
生理学家,physiologist,0.6930271735362384
多数,most,0.692918438993942
孩子们,children,0.6929159170377419
粗绳,rope,0.6925189380015244
步兵,infantry,0.6924831924706462
化纤,synthetics,0.6923372862991859
姐姐,sister,0.6922244287509844
风暴,storm,0.6922129142051222
爱丁堡,edinburgh,0.692100828128205
